id,url,tweet,date,retweetCount,replyCount,likeCount,quoteCount,viewCount,inReplyToUsername,author/followers,author/following,author/userName
1896790224908571100,https://x.com/mary_m90204/status/1896790224908571080,"@madpinkin Cardtonic and Ant dog, I pity all of una wey won go trade for there... God go will help me",2025-03-04 05:10:00,0,1,1,0,128.0,madpinkin,53,454,mary_m90204
1896785292314739000,https://x.com/Miguel_is_back/status/1896785292314738840,@cardtonic Y’all are scammers,2025-03-04 04:50:00,0,1,0,0,29.0,cardtonic,298,1375,Miguel_is_back
1896782296247894300,https://x.com/Miguel_is_back/status/1896782296247894338,@cardtonic una Dey ripped too?,2025-03-04 04:38:00,0,1,0,0,14.0,cardtonic,298,1375,Miguel_is_back
1896751795093041400,https://x.com/0doubt_1/status/1896751795093041488,"@Mind_Essentials Hey @cardtonic been trading with you over 4year what going on with the app, never delay my trade until  a day suit things out pls 😕😞",2025-03-04 02:37:00,0,0,1,0,85.0,Mind_Essentials,31,114,0doubt_1
1896750831816626400,https://x.com/herdeylekan/status/1896750831816626362,@madpinkin Cardtonic never scam you before?😂,2025-03-04 02:33:00,0,1,0,0,507.0,madpinkin,812,998,herdeylekan
1896699910759780400,https://x.com/Teetrump001/status/1896699910759780354,@cardtonic @sisyice_cream Your customer service is totally shit,2025-03-03 23:11:00,0,0,0,0,20.0,cardtonic,28,65,Teetrump001
1896689826486993000,https://x.com/John70944471850/status/1896689826486992969,@Pauloskyy0 @cardtonic Use face id fr security instead of pin to save stress,2025-03-03 22:31:00,0,0,1,0,17.0,Pauloskyy0,9,148,John70944471850
1896678486426919400,https://x.com/Rich_meek7/status/1896678486426919412,@madpinkin I ve been using Cardtonic for over 2 yrs now.  It's nice.   But any good platform to send funds to Canada and U.S from 9ja.  Somebody help pls 🤲,2025-03-03 21:46:00,0,5,3,0,4886.0,madpinkin,114,96,Rich_meek7
1896676315736273400,https://x.com/DreamArts89/status/1896676315736273304,@cardtonic Why the delay since about an hour,2025-03-03 21:37:00,0,1,0,0,39.0,cardtonic,7,83,DreamArts89
1896652868926795800,https://x.com/symplyDAPO/status/1896652868926795848,@dahtgirl_ajex @cardtonic Yes o,2025-03-03 20:04:00,0,0,0,0,82.0,dahtgirl_ajex,307469,11960,symplyDAPO
1896651735281901800,https://x.com/Mr_Teekay001/status/1896651735281901812,@symplyDAPO @cardtonic Nice ratex,2025-03-03 19:59:00,0,0,0,0,26.0,symplyDAPO,44725,9133,Mr_Teekay001
